2026-05-23 17:10:04 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.05, 'score_ratio': 0.25, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-23 17:10:04 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-23 17:10:04 | INFO | Logs will be saved to: /mnt/disk1/DINO-SAM-GECO2_3/logs/DGECO2FSCD_20260523_171004
2026-05-23 17:10:05 | INFO | Trainable parameter groups: non_backbone=54677258, dinov3_adapter=2561296, frozen_dinov3=85648128
2026-05-23 17:10:05 | INFO | AMP mixed precision enabled: False
2026-05-23 17:10:06 | INFO | Dataloader batch sizes: train=2, val=2, test=2
2026-05-23 17:11:52 | INFO | Epoch 1 | batch 50/1829 | loss=2.1005 | giou=0.8589 | bbox=0.3145 | ce=0.0682 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=754 | aux_mask=973 | pos=200 | targets=200 | preds=59 | centerness=[-2.711, 0.242] | train_seen=100
2026-05-23 17:13:39 | INFO | Epoch 1 | batch 100/1829 | loss=2.3173 | giou=0.8561 | bbox=0.3642 | ce=0.0871 | aux_giou=0.0259 | aux_bbox=0.0112 | aux_ce=0.0908 | mask=2134 | aux_mask=1627 | pos=1889 | targets=1096 | preds=300 | centerness=[-3.095, -0.265] | train_seen=200
2026-05-23 17:15:25 | INFO | Epoch 1 | batch 150/1829 | loss=1.6015 | giou=0.6975 | bbox=0.1715 | ce=0.0350 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=739 | aux_mask=339 | pos=45 | targets=45 | preds=230 | centerness=[-2.050, -0.099] | train_seen=300
2026-05-23 17:17:12 | INFO | Epoch 1 | batch 200/1829 | loss=1.0700 | giou=0.4447 | bbox=0.0975 | ce=0.0831 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1036 | aux_mask=614 | pos=438 | targets=438 | preds=237 | centerness=[-1.807, -0.127] | train_seen=400
2026-05-23 17:18:58 | INFO | Epoch 1 | batch 250/1829 | loss=1.9638 | giou=0.8569 | bbox=0.1963 | ce=0.0537 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1127 | aux_mask=701 | pos=174 | targets=174 | preds=312 | centerness=[-2.440, -0.279] | train_seen=500
2026-05-23 17:20:44 | INFO | Epoch 1 | batch 300/1829 | loss=2.4673 | giou=0.9426 | bbox=0.2548 | ce=0.0622 | aux_giou=0.0513 | aux_bbox=0.0198 | aux_ce=0.1428 | mask=812 | aux_mask=624 | pos=436 | targets=436 | preds=545 | centerness=[-1.945, -0.086] | train_seen=600
2026-05-23 17:22:31 | INFO | Epoch 1 | batch 350/1829 | loss=1.9181 | giou=0.8422 | bbox=0.2021 | ce=0.0317 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1739 | aux_mask=1057 | pos=144 | targets=144 | preds=611 | centerness=[-1.861, -0.535] | train_seen=700
2026-05-23 17:24:18 | INFO | Epoch 1 | batch 400/1829 | loss=1.6804 | giou=0.7172 | bbox=0.1895 | ce=0.0566 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=713 | aux_mask=735 | pos=457 | targets=457 | preds=177 | centerness=[-1.938, -0.038] | train_seen=800
2026-05-23 17:26:04 | INFO | Epoch 1 | batch 450/1829 | loss=1.4936 | giou=0.6905 | bbox=0.0789 | ce=0.0338 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1388 | aux_mask=920 | pos=152 | targets=152 | preds=780 | centerness=[-1.851, -0.646] | train_seen=900
2026-05-23 17:27:50 | INFO | Epoch 1 | batch 500/1829 | loss=1.7855 | giou=0.7967 | bbox=0.1413 | ce=0.0508 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=586 | aux_mask=288 | pos=120 | targets=120 | preds=367 | centerness=[-1.771, -0.564] | train_seen=1000
2026-05-23 17:29:37 | INFO | Epoch 1 | batch 550/1829 | loss=2.3036 | giou=0.8685 | bbox=0.1112 | ce=0.0968 | aux_giou=0.1414 | aux_bbox=0.0390 | aux_ce=0.0369 | mask=1553 | aux_mask=1462 | pos=860 | targets=860 | preds=944 | centerness=[-1.613, -0.646] | train_seen=1100
2026-05-23 17:31:23 | INFO | Epoch 1 | batch 600/1829 | loss=1.9166 | giou=0.7611 | bbox=0.1711 | ce=0.0790 | aux_giou=0.0556 | aux_bbox=0.0035 | aux_ce=0.0296 | mask=847 | aux_mask=947 | pos=388 | targets=388 | preds=451 | centerness=[-1.697, -0.133] | train_seen=1200
2026-05-23 17:33:09 | INFO | Epoch 1 | batch 650/1829 | loss=1.4606 | giou=0.5914 | bbox=0.1023 | ce=0.0457 | aux_giou=0.0561 | aux_bbox=0.0110 | aux_ce=0.0065 | mask=732 | aux_mask=775 | pos=140 | targets=140 | preds=418 | centerness=[-2.772, -0.808] | train_seen=1300
2026-05-23 17:34:55 | INFO | Epoch 1 | batch 700/1829 | loss=1.2293 | giou=0.5522 | bbox=0.0775 | ce=0.0474 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=645 | aux_mask=793 | pos=96 | targets=96 | preds=327 | centerness=[-1.934, -0.798] | train_seen=1400
2026-05-23 17:36:41 | INFO | Epoch 1 | batch 750/1829 | loss=1.0792 | giou=0.4813 | bbox=0.0801 | ce=0.0365 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=642 | aux_mask=537 | pos=68 | targets=68 | preds=241 | centerness=[-2.836, -0.939] | train_seen=1500
2026-05-23 17:38:28 | INFO | Epoch 1 | batch 800/1829 | loss=1.2868 | giou=0.6033 | bbox=0.0678 | ce=0.0124 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1471 | aux_mask=1097 | pos=44 | targets=44 | preds=580 | centerness=[-2.873, -0.846] | train_seen=1600
2026-05-23 17:40:14 | INFO | Epoch 1 | batch 850/1829 | loss=1.4972 | giou=0.6771 | bbox=0.0871 | ce=0.0560 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=691 | aux_mask=950 | pos=203 | targets=203 | preds=391 | centerness=[-2.489, -0.513] | train_seen=1700
2026-05-23 17:42:00 | INFO | Epoch 1 | batch 900/1829 | loss=1.8231 | giou=0.8209 | bbox=0.0954 | ce=0.0859 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=782 | aux_mask=1146 | pos=312 | targets=312 | preds=504 | centerness=[-1.672, 0.109] | train_seen=1800
2026-05-23 17:43:47 | INFO | Epoch 1 | batch 950/1829 | loss=1.5809 | giou=0.7202 | bbox=0.0920 | ce=0.0484 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=831 | aux_mask=1078 | pos=228 | targets=228 | preds=481 | centerness=[-2.028, -0.264] | train_seen=1900
2026-05-23 17:45:33 | INFO | Epoch 1 | batch 1000/1829 | loss=1.0218 | giou=0.4699 | bbox=0.0555 | ce=0.0266 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=943 | aux_mask=1528 | pos=63 | targets=63 | preds=453 | centerness=[-2.460, -0.805] | train_seen=2000
2026-05-23 17:47:19 | INFO | Epoch 1 | batch 1050/1829 | loss=1.1011 | giou=0.4700 | bbox=0.1476 | ce=0.0136 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1200 | aux_mask=1026 | pos=32 | targets=32 | preds=216 | centerness=[-2.306, -0.596] | train_seen=2100
2026-05-23 17:49:05 | INFO | Epoch 1 | batch 1100/1829 | loss=1.2837 | giou=0.5717 | bbox=0.0781 | ce=0.0622 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=513 | aux_mask=626 | pos=160 | targets=160 | preds=366 | centerness=[-2.150, -0.625] | train_seen=2200
2026-05-23 17:50:52 | INFO | Epoch 1 | batch 1150/1829 | loss=1.8346 | giou=0.7039 | bbox=0.1789 | ce=0.0872 | aux_giou=0.0713 | aux_bbox=0.0104 | aux_ce=0.0076 | mask=1071 | aux_mask=1568 | pos=442 | targets=442 | preds=350 | centerness=[-4.181, -0.628] | train_seen=2300
2026-05-23 17:52:38 | INFO | Epoch 1 | batch 1200/1829 | loss=1.1660 | giou=0.5401 | bbox=0.0552 | ce=0.0306 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1038 | aux_mask=1556 | pos=61 | targets=61 | preds=685 | centerness=[-2.153, -0.637] | train_seen=2400
2026-05-23 17:54:24 | INFO | Epoch 1 | batch 1250/1829 | loss=1.5703 | giou=0.7038 | bbox=0.1326 | ce=0.0301 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=693 | aux_mask=951 | pos=63 | targets=63 | preds=417 | centerness=[-2.986, -0.727] | train_seen=2500
2026-05-23 17:56:10 | INFO | Epoch 1 | batch 1300/1829 | loss=1.8460 | giou=0.7691 | bbox=0.0998 | ce=0.0568 | aux_giou=0.0680 | aux_bbox=0.0098 | aux_ce=0.0053 | mask=677 | aux_mask=959 | pos=129 | targets=129 | preds=409 | centerness=[-2.472, -0.950] | train_seen=2600
2026-05-23 17:57:56 | INFO | Epoch 1 | batch 1350/1829 | loss=1.2230 | giou=0.5647 | bbox=0.0333 | ce=0.0604 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=750 | aux_mask=845 | pos=268 | targets=268 | preds=660 | centerness=[-1.989, -0.186] | train_seen=2700
2026-05-23 17:59:42 | INFO | Epoch 1 | batch 1400/1829 | loss=1.4222 | giou=0.6218 | bbox=0.1497 | ce=0.0288 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=784 | aux_mask=888 | pos=72 | targets=72 | preds=465 | centerness=[-2.374, -0.886] | train_seen=2800
2026-05-23 18:01:28 | INFO | Epoch 1 | batch 1450/1829 | loss=1.3738 | giou=0.6283 | bbox=0.0749 | ce=0.0422 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=828 | aux_mask=1053 | pos=206 | targets=206 | preds=590 | centerness=[-3.067, -0.586] | train_seen=2900
2026-05-23 18:03:14 | INFO | Epoch 1 | batch 1500/1829 | loss=1.6865 | giou=0.7968 | bbox=0.0571 | ce=0.0358 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=641 | aux_mask=691 | pos=82 | targets=82 | preds=592 | centerness=[-2.280, -0.537] | train_seen=3000
2026-05-23 18:05:01 | INFO | Epoch 1 | batch 1550/1829 | loss=1.2262 | giou=0.5513 | bbox=0.0757 | ce=0.0477 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=739 | aux_mask=817 | pos=168 | targets=168 | preds=525 | centerness=[-2.343, -0.617] | train_seen=3100
2026-05-23 18:06:47 | INFO | Epoch 1 | batch 1600/1829 | loss=1.6345 | giou=0.7049 | bbox=0.0517 | ce=0.0459 | aux_giou=0.0577 | aux_bbox=0.0083 | aux_ce=0.0035 | mask=1114 | aux_mask=1183 | pos=268 | targets=268 | preds=902 | centerness=[-2.179, -0.407] | train_seen=3200
2026-05-23 18:08:33 | INFO | Epoch 1 | batch 1650/1829 | loss=1.3039 | giou=0.5917 | bbox=0.0717 | ce=0.0488 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=712 | aux_mask=784 | pos=188 | targets=188 | preds=436 | centerness=[-2.322, -0.257] | train_seen=3300
2026-05-23 18:10:19 | INFO | Epoch 1 | batch 1700/1829 | loss=1.6354 | giou=0.6210 | bbox=0.0559 | ce=0.0652 | aux_giou=0.1271 | aux_bbox=0.0090 | aux_ce=0.0091 | mask=954 | aux_mask=1065 | pos=576 | targets=576 | preds=769 | centerness=[-1.841, 0.293] | train_seen=3400
2026-05-23 18:12:05 | INFO | Epoch 1 | batch 1750/1829 | loss=1.0342 | giou=0.4677 | bbox=0.0492 | ce=0.0497 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=627 | aux_mask=561 | pos=141 | targets=141 | preds=420 | centerness=[-2.455, -0.363] | train_seen=3500
2026-05-23 18:13:52 | INFO | Epoch 1 | batch 1800/1829 | loss=0.9764 | giou=0.4338 | bbox=0.0732 | ce=0.0356 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=741 | aux_mask=713 | pos=92 | targets=92 | preds=487 | centerness=[-2.543, -0.603] | train_seen=3600
2026-05-23 18:34:26 | INFO | Epoch 1 | train_loss=1.553 | val_loss=1.411 | train_mae=141.543 | val_mae=135.953 | val_rmse=158.59 | test_mae=134.178 | test_rmse=182.56 | time=5058.582s | best_rmse
2026-05-23 18:36:13 | INFO | Epoch 2 | batch 50/1829 | loss=1.4427 | giou=0.6632 | bbox=0.0751 | ce=0.0411 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=706 | aux_mask=794 | pos=112 | targets=112 | preds=393 | centerness=[-2.361, -0.496] | train_seen=100
2026-05-23 18:37:59 | INFO | Epoch 2 | batch 100/1829 | loss=1.0828 | giou=0.4213 | bbox=0.0323 | ce=0.0555 | aux_giou=0.0720 | aux_bbox=0.0029 | aux_ce=0.0055 | mask=1057 | aux_mask=1046 | pos=112 | targets=112 | preds=680 | centerness=[-1.917, 0.557] | train_seen=200
2026-05-23 18:39:46 | INFO | Epoch 2 | batch 150/1829 | loss=1.2535 | giou=0.5704 | bbox=0.0610 | ce=0.0517 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1227 | aux_mask=1313 | pos=284 | targets=284 | preds=914 | centerness=[-2.074, -0.696] | train_seen=300
2026-05-23 18:41:32 | INFO | Epoch 2 | batch 200/1829 | loss=1.5177 | giou=0.5605 | bbox=0.2235 | ce=0.0154 | aux_giou=0.0685 | aux_bbox=0.0192 | aux_ce=0.0016 | mask=1958 | aux_mask=845 | pos=85 | targets=85 | preds=627 | centerness=[-2.710, -0.762] | train_seen=400
2026-05-23 18:43:18 | INFO | Epoch 2 | batch 250/1829 | loss=1.5893 | giou=0.6261 | bbox=0.1384 | ce=0.0505 | aux_giou=0.0649 | aux_bbox=0.0157 | aux_ce=0.0027 | mask=1505 | aux_mask=1390 | pos=292 | targets=292 | preds=665 | centerness=[-2.515, -0.693] | train_seen=500
2026-05-23 18:45:04 | INFO | Epoch 2 | batch 300/1829 | loss=1.3231 | giou=0.5940 | bbox=0.0831 | ce=0.0520 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=982 | aux_mask=993 | pos=308 | targets=308 | preds=593 | centerness=[-2.205, -0.375] | train_seen=600
