2026-05-25 16:41:57 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.3, 'score_ratio': 0.6, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-25 16:41:57 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-25 16:41:57 | INFO | Logs will be saved to: /mnt/disk1/DINO-SAM-GECO2_3/logs/DGECO2FSCD_20260525_164157
2026-05-25 16:41:58 | INFO | Trainable parameter groups: non_backbone=54677258, dinov3_adapter=2561296, frozen_dinov3=85648128
2026-05-25 16:41:58 | INFO | AMP mixed precision enabled: False
2026-05-25 16:42:00 | INFO | Dataloader batch sizes: train=2, val=2, test=2
2026-05-25 16:43:47 | INFO | Epoch 1 | batch 50/1829 | loss=1.7386 | giou=0.7403 | bbox=0.2076 | ce=0.0504 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1089 | aux_mask=940 | pos=200 | targets=200 | preds=34 | centerness=[-2.197, -0.076] | train_seen=100
2026-05-25 16:45:34 | INFO | Epoch 1 | batch 100/1829 | loss=2.3320 | giou=0.8434 | bbox=0.3112 | ce=0.1954 | aux_giou=0.0618 | aux_bbox=0.0127 | aux_ce=0.0024 | mask=1478 | aux_mask=2161 | pos=1096 | targets=1096 | preds=5 | centerness=[-3.040, -0.452] | train_seen=200
2026-05-25 16:47:21 | INFO | Epoch 1 | batch 150/1829 | loss=1.3224 | giou=0.5831 | bbox=0.1299 | ce=0.0263 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1178 | aux_mask=715 | pos=45 | targets=45 | preds=46 | centerness=[-1.760, -0.158] | train_seen=300
2026-05-25 16:49:08 | INFO | Epoch 1 | batch 200/1829 | loss=1.6017 | giou=0.6852 | bbox=0.1281 | ce=0.1032 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=997 | aux_mask=918 | pos=438 | targets=438 | preds=371 | centerness=[-1.757, -0.362] | train_seen=400
2026-05-25 16:50:58 | INFO | Epoch 1 | batch 250/1829 | loss=1.6025 | giou=0.7171 | bbox=0.1014 | ce=0.0669 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1323 | aux_mask=1144 | pos=174 | targets=174 | preds=4 | centerness=[-3.158, -0.588] | train_seen=500
2026-05-25 16:52:47 | INFO | Epoch 1 | batch 300/1829 | loss=2.1492 | giou=0.8412 | bbox=0.2012 | ce=0.0583 | aux_giou=0.0825 | aux_bbox=0.0318 | aux_ce=0.0105 | mask=1044 | aux_mask=928 | pos=803 | targets=436 | preds=373 | centerness=[-1.724, 0.015] | train_seen=600
2026-05-25 16:54:34 | INFO | Epoch 1 | batch 350/1829 | loss=1.8107 | giou=0.8279 | bbox=0.1060 | ce=0.0489 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1368 | aux_mask=1122 | pos=144 | targets=144 | preds=588 | centerness=[-2.335, -0.401] | train_seen=700
2026-05-25 16:56:21 | INFO | Epoch 1 | batch 400/1829 | loss=1.1729 | giou=0.5262 | bbox=0.0471 | ce=0.0735 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=675 | aux_mask=832 | pos=457 | targets=457 | preds=400 | centerness=[-2.010, -0.058] | train_seen=800
2026-05-25 16:58:08 | INFO | Epoch 1 | batch 450/1829 | loss=1.2906 | giou=0.5980 | bbox=0.0576 | ce=0.0369 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1483 | aux_mask=1467 | pos=152 | targets=152 | preds=458 | centerness=[-1.670, -0.537] | train_seen=900
2026-05-25 16:59:56 | INFO | Epoch 1 | batch 500/1829 | loss=1.8704 | giou=0.8363 | bbox=0.1433 | ce=0.0545 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=623 | aux_mask=664 | pos=120 | targets=120 | preds=0 | centerness=[-2.504, -0.934] | train_seen=1000
2026-05-25 17:01:42 | INFO | Epoch 1 | batch 550/1829 | loss=2.6050 | giou=0.9737 | bbox=0.1928 | ce=0.0835 | aux_giou=0.1649 | aux_bbox=0.0352 | aux_ce=0.0163 | mask=1497 | aux_mask=2321 | pos=860 | targets=860 | preds=511 | centerness=[-2.121, -0.587] | train_seen=1100
