2026-06-08 16:32:11 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_4/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_4/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_4/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.2, 'score_ratio': 0.5, 'threshold_mode': 'static_ratio', 'score_quantile': 0.98, 'min_score_gap': 0.0, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.3, 'min_box_area': 0.0, 'max_box_area': 0.0, 'adaptive_sparse_score_ratio': 0.5, 'adaptive_dense_score_ratio': 0.45, 'adaptive_sparse_nms_iou': 0.25, 'adaptive_dense_nms_iou': 0.25, 'adaptive_dense_candidate_threshold': 128, 'verification_mode': 'none', 'verification_threshold': 0.0, 'verification_topk': 0, 'verification_min_area_ratio': 0.0, 'verification_max_area_ratio': 0.0, 'verification_filter_mode': 'hard', 'verification_score_gamma': 0.0, 'verification_hard_candidate_limit': 0, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_4/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 20, 'weight_decay': 0.0001, 'tiling_p': 0.2, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 2.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.5, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-06-08 16:32:11 | INFO | Running pure single-GPU training on device: cuda:0
2026-06-08 16:32:11 | INFO | Logs will be saved to: /mnt/disk1/DINO-SAM-GECO2_4/logs/DGECO2FSCD_20260608_163211
2026-06-08 16:32:12 | INFO | Trainable parameter groups: non_backbone=55864590, dinov3_adapter=2561296, frozen_dinov3=85648128
2026-06-08 16:32:12 | INFO | AMP mixed precision enabled: False
2026-06-08 16:32:13 | INFO | Dataloader batch sizes: train=2, val=2, test=2
2026-06-08 16:34:42 | INFO | Epoch 1 | batch 50/1829 | loss=1.7571 | giou=0.6848 | bbox=0.2475 | ce=0.0700 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=784 | aux_mask=1623 | pos=116 | targets=116 | pre_nms=784 | post_nms=70 | post_verify=70 | thr=0.233 | centerness=[-1.199, -0.132] | train_seen=100
2026-06-08 16:37:09 | INFO | Epoch 1 | batch 100/1829 | loss=2.1601 | giou=0.9125 | bbox=0.2614 | ce=0.0368 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1344 | aux_mask=1503 | pos=25 | targets=25 | pre_nms=1343 | post_nms=113 | post_verify=113 | thr=0.200 | centerness=[-1.562, -0.435] | train_seen=200
2026-06-08 16:39:37 | INFO | Epoch 1 | batch 150/1829 | loss=2.5933 | giou=1.0071 | bbox=0.3583 | ce=0.1104 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1214 | aux_mask=620 | pos=267 | targets=267 | pre_nms=1214 | post_nms=73 | post_verify=73 | thr=0.200 | centerness=[-1.526, -0.494] | train_seen=300
2026-06-08 16:42:05 | INFO | Epoch 1 | batch 200/1829 | loss=1.9075 | giou=0.8194 | bbox=0.2294 | ce=0.0197 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1446 | aux_mask=667 | pos=35 | targets=35 | pre_nms=1444 | post_nms=94 | post_verify=94 | thr=0.200 | centerness=[-1.529, -0.533] | train_seen=400
2026-06-08 16:44:32 | INFO | Epoch 1 | batch 250/1829 | loss=2.3615 | giou=0.9402 | bbox=0.4299 | ce=0.0255 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1772 | aux_mask=2320 | pos=60 | targets=60 | pre_nms=1760 | post_nms=94 | post_verify=94 | thr=0.200 | centerness=[-1.460, -0.485] | train_seen=500
2026-06-08 16:46:55 | INFO | Epoch 1 | batch 300/1829 | loss=1.9312 | giou=0.7966 | bbox=0.2715 | ce=0.0333 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=2972 | aux_mask=360 | pos=25 | targets=25 | pre_nms=2972 | post_nms=179 | post_verify=179 | thr=0.211 | centerness=[-1.135, -0.222] | train_seen=600
2026-06-08 16:49:16 | INFO | Epoch 1 | batch 350/1829 | loss=1.9360 | giou=0.7655 | bbox=0.3204 | ce=0.0422 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=587 | aux_mask=817 | pos=42 | targets=42 | pre_nms=587 | post_nms=125 | post_verify=125 | thr=0.211 | centerness=[-1.291, -0.221] | train_seen=700
2026-06-08 16:51:38 | INFO | Epoch 1 | batch 400/1829 | loss=1.9166 | giou=0.7736 | bbox=0.2406 | ce=0.0644 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=734 | aux_mask=964 | pos=134 | targets=134 | pre_nms=732 | post_nms=188 | post_verify=188 | thr=0.210 | centerness=[-1.222, -0.246] | train_seen=800
2026-06-08 16:53:59 | INFO | Epoch 1 | batch 450/1829 | loss=1.8341 | giou=0.7891 | bbox=0.1741 | ce=0.0408 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1002 | aux_mask=667 | pos=109 | targets=109 | pre_nms=768 | post_nms=137 | post_verify=137 | thr=0.200 | centerness=[-2.052, -0.590] | train_seen=900
2026-06-08 16:56:20 | INFO | Epoch 1 | batch 500/1829 | loss=1.0902 | giou=0.4249 | bbox=0.0573 | ce=0.0916 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=392 | aux_mask=517 | pos=161 | targets=161 | pre_nms=339 | post_nms=205 | post_verify=205 | thr=0.222 | centerness=[-1.343, -0.223] | train_seen=1000
2026-06-08 16:58:40 | INFO | Epoch 1 | batch 550/1829 | loss=1.2699 | giou=0.5307 | bbox=0.0877 | ce=0.0605 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=385 | aux_mask=329 | pos=68 | targets=68 | pre_nms=384 | post_nms=107 | post_verify=107 | thr=0.207 | centerness=[-1.505, -0.297] | train_seen=1100
